DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
2053,Burnley Road Academy,Primary,Academy converter,Headteacher,Mrs Clare Cope,Burnley Road,Mytholmroyd,"",Hebden Bridge,HX7 5DE,Luddendenfoot,014228 883034,www.burnleyroadacademy.org,Yes,217,2022-01-20 00:00:00,401061,426205,53.73225,-1.98540,Calder Valley,BURNLEY ROAD ACADEMY,"","",10010164227
2042,Carr Green Primary School,Primary,Community school,Headteacher,Mrs Emma Midgley,Carr Green Lane,Rastrick,"",Brighouse,HD6 3LT,Rastrick,014847 715969,http://www.carrgreenschool.org.uk,Yes,343,2022-01-20 00:00:00,413825,421185,53.68695,-1.79214,East Calderdale,"","","",10010186616
2068,Castle Hill Primary School,Primary,Community school,Headteacher,Mrs Janet Leggett,Halifax Road,"","",Todmorden,OL14 5SQ,Calder,017068 813163,www.castlehillprimary.co.uk,Yes,204,2022-01-20 00:00:00,394870,424535,53.71722,-2.07921,Calder Valley,"","","",10010152666
2054,Central Street Infant and Nursery School,Primary,Community school,Executive Headteacher,Ms Lucy Caswell,Central Street,"","",Hebden Bridge,HX7 6HB,Calder,014228 842784,http://www.centralstreet.org.uk,Yes,72,2022-01-20 00:00:00,399043,427180,53.74102,-2.01599,Calder Valley,"","",Hebden Bridge Schools Federation,100000000000
3323,"Christ Church CofE VA Junior School, Sowerby Bridge",Primary,Voluntary aided school,Headteacher,Miss Alison Embleton,Park Road,"",Christ Church Ce (Va) Junior School,Sowerby Bridge,HX6 2BJ,Sowerby Bridge,014228 832454,http://www.christchurchjuniors.org.uk,No,120,2022-01-20 00:00:00,406431,424058,53.71292,-1.90404,Sowerby Bridge,"","","",10010188231
3001,Christ Church Pellon CofE VC Primary School,Primary,Voluntary controlled school,Headteacher,Mrs Jo Bastian,Sandbeds Road,Pellon,"",Halifax,HX2 0QQ,Warley,014223 350792,http://www.christchurch-pellon.calderdale.sch.uk,No,166,2022-01-20 00:00:00,406962,425931,53.72975,-1.89596,North Halifax,"","","",100000000000
2076,Cliffe Hill Community Primary School,Primary,Community school,Headteacher,Ms Lindsay Lomas,Stoney Lane,Lightcliffe,"",Halifax,HX3 8TW,Hipperholme and Lightcliffe,014222 202086,http://www.cliffehill.calderdale.sch.uk,Yes,203,2022-01-20 00:00:00,414058,424949,53.72077,-1.78845,East Calderdale,"","","",10010181155
2059,Colden Junior and Infant School,Primary,Community school,Headteacher,Mrs Sarah Hetherington,Smithy Lane,Colden,"",Hebden Bridge,HX7 7HW,Calder,014228 842438,http://www.colden.calderdale.sch.uk,No,81,2022-01-20 00:00:00,396193,428379,53.75178,-2.05921,Calder Valley,"","","",10010174716
2006,Copley Primary School,Primary,Community school,Headteacher,Mrs Sarah Hemingway,Wakefield Road,Copley,"",Halifax,HX3 0TP,Skircoat,014223 354209,https://www.copleynewroad.co.uk/,No,270,2022-01-20 00:00:00,408789,422589,53.69968,-1.86836,Sowerby Bridge,"","","",100000000000
2069,"Cornholme Junior, Infant and Nursery School",Primary,Community school,Headteacher,Mr Adam Sapey,Greenfield Terrace,Cornholme,"",Todmorden,OL14 8PL,Todmorden,017068 812787,https://www.cornholmeschool.co.uk,Yes,178,2022-01-20 00:00:00,390171,426195,53.73207,-2.15047,Todmorden,"","","",100000000000
2087,Cross Lane Primary and Nursery School,Primary,Community school,Headteacher,Mr Mark Sharp,Cross Lane,"","",Elland,HX5 0LP,Elland,014223 372614,www.crosslaneprimary.co.uk,Yes,336,2022-01-20 00:00:00,410362,420330,53.67935,-1.84461,Elland,"","","",100000000000
2011,Dean Field Community Primary School,Primary,Academy sponsor led,"",Mrs Fiona Pether,Cousin Lane,Ovenden,"",Halifax,HX2 8DQ,Ovenden,014222 258258,"",Yes,232,2022-01-20 00:00:00,407135,427323,53.74226,-1.89330,North Halifax,THE FAMILY OF LEARNING TRUST,The Family of Learning Trust,"",10010175178
