AtcoCode,CommonName,StopType,ShortCommonName,Street,Longitude,Latitude,ModifiedDate,CreatedDate,LocalityName,Easting,Northing
700000010327,Strangford College,BusCoachTramOnStreetPoint,,Abbey Road,-5.5506467174,54.5791395129,09/07/2020,09/07/2020,Newtownards,358422,372856
700000010328,Strangford College,BusCoachTramOnStreetPoint,,Abbey Road,-5.5503466012,54.5790264152,09/07/2020,09/07/2020,Newtownards,358441,372844
700000010329,Mosside Mill,BusCoachTramOnStreetPoint,,,-6.4152049083,55.1638502695,09/07/2020,09/07/2020,Coleraine,301054,436337
700000010330,7e+011,BusCoachTramOnStreetPoint,,,-6.4101468968,55.1644432499,09/07/2020,09/07/2020,Coleraine,301375,436410
700000010332,Mosside Pres Church,BusCoachTramOnStreetPoint,,,-6.4135865404,55.1544934063,09/07/2020,09/07/2020,Coleraine,301181,435298
700000010333,Mosside Mill,BusCoachTramOnStreetPoint,,,-6.4093628179,55.154639139,09/07/2020,09/07/2020,Coleraine,301449,435320
700000010334,Clrgnagh,BusCoachTramOnStreetPoint,,,-6.4010311878,55.156942713,09/07/2020,09/07/2020,Coleraine,301975,435588
700000010335,Manister Rd,BusCoachTramOnStreetPoint,,,-6.393168479,55.1589190695,09/07/2020,09/07/2020,Coleraine,302471,435820
700000010336,Dry Arch,BusCoachTramOnStreetPoint,,,-6.378653999,55.1611037123,09/07/2020,09/07/2020,Coleraine,303390,436085
700000010337,Lisnagat Rd,BusCoachTramOnStreetPoint,,,-6.3560684814,55.1692011174,09/07/2020,09/07/2020,Coleraine,304808,437020
700000010338,Moyarget Rd 178 188,BusCoachTramOnStreetPoint,,,-6.34989224,55.1703441889,09/07/2020,09/07/2020,Coleraine,305199,437156
700000010339,Carvacloughan Ind Orange Hall,BusCoachTramOnStreetPoint,,,-6.3429572456,55.172293238,09/07/2020,09/07/2020,Coleraine,305636,437384
700000010340,Ramoan Pres Church,BusCoachTramOnStreetPoint,,,-6.3302496823,55.1777207981,09/07/2020,09/07/2020,Coleraine,306431,438007
700000010341,Moyarget Cottages,BusCoachTramOnStreetPoint,,,-6.3251228748,55.1805312174,09/07/2020,09/07/2020,Coleraine,306750,438328
700000010342,Turroluskin,BusCoachTramOnStreetPoint,,,-6.3146610333,55.1827687654,09/07/2020,09/07/2020,Coleraine,307410,438593
700000010343,Culkeny Cottages,BusCoachTramOnStreetPoint,,,-6.2994462944,55.1853812183,09/07/2020,09/07/2020,Coleraine,308372,438907
700000010344,Culkeeney Lower,BusCoachTramOnStreetPoint,,,-6.2886821363,55.1882112712,09/07/2020,09/07/2020,Coleraine,309050,439239
700000010345,Hillhead,BusCoachTramOnStreetPoint,,,-6.2619012225,55.1974506599,09/07/2020,09/07/2020,Coleraine,310730,440310
700000010346,Ballycastle Pres Church,BusCoachTramOnStreetPoint,,,-6.2566928463,55.1999804787,09/07/2020,09/07/2020,Coleraine,311055,440599
700000010347,High School,BusCoachTramOnStreetPoint,,,-6.2471825811,55.2048490135,09/07/2020,09/07/2020,Coleraine,311647,441157
700000010348,High Sch Grounds,BusCoachTramOnStreetPoint,,,-6.2506644575,55.2053302174,09/07/2020,09/07/2020,Coleraine,311424,441205
700000010349,St Pats/St Brigids,BusCoachTramOnStreetPoint,,,-6.2528090501,55.2037079788,09/07/2020,09/07/2020,Coleraine,311292,441021
700000010350,Strandview,BusCoachTramOnStreetPoint,,,-6.2468379871,55.2057557159,09/07/2020,09/07/2020,Coleraine,311666,441258
700000010351,Strandview Lower,BusCoachTramOnStreetPoint,,,-6.2427874308,55.2058458326,09/07/2020,09/07/2020,Coleraine,311924,441275
700000010352,Ballycastle Pri  Sch,BusCoachTramOnStreetPoint,,,-6.2426832924,55.2039308245,09/07/2020,09/07/2020,Coleraine,311936,441062
700000010353,Ballycastle Bus Depot,BusCoachTramOnStreetPoint,,,-6.2482818062,55.2011871913,09/07/2020,09/07/2020,Coleraine,311587,440747
700000010354,The Anzac,BusCoachTramOnStreetPoint,,,-6.2518462327,55.2013045462,09/07/2020,09/07/2020,Coleraine,311360,440755
700000010355,Presbyterian Church,BusCoachTramOnStreetPoint,,,-6.2562751926,55.1998766764,09/07/2020,09/07/2020,Coleraine,311082,440589
700000010356,Hillhead,BusCoachTramOnStreetPoint,,,-6.261684329,55.1975732487,09/07/2020,09/07/2020,Coleraine,310744,440324
700000010357,Drumawullan Park,BusCoachTramOnStreetPoint,,,-6.2642790865,55.1949690351,09/07/2020,09/07/2020,Coleraine,310586,440030
700000010358,Hillhead,BusCoachTramOnStreetPoint,,,-6.2623611513,55.1968106658,09/07/2020,09/07/2020,Coleraine,310703,440238
700000010359,Culkeeney Lower,BusCoachTramOnStreetPoint,,,-6.2883676878,55.188059797,09/07/2020,09/07/2020,Coleraine,309071,439223
700000010360,Culkeeney,BusCoachTramOnStreetPoint,,,-6.2990062784,55.1852800349,09/07/2020,09/07/2020,Coleraine,308401,438897
700000010361,Turroluskin,BusCoachTramOnStreetPoint,,,-6.3142850711,55.1826264797,09/07/2020,09/07/2020,Coleraine,307435,438578
700000010362,Moyarget Cottages,BusCoachTramOnStreetPoint,,,-6.3247375609,55.1804617815,09/07/2020,09/07/2020,Coleraine,306775,438321
700000010363,Ramoan Church,BusCoachTramOnStreetPoint,,,-6.3295765735,55.1777432896,09/07/2020,09/07/2020,Coleraine,306474,438011
700000010364,Carvacloughan Ind Hall,BusCoachTramOnStreetPoint,,,-6.3425777888,55.1723599477,09/07/2020,09/07/2020,Coleraine,305660,437392
700000010365,178 188 Moyarget Rd,BusCoachTramOnStreetPoint,,,-6.3501268289,55.170090706,09/07/2020,09/07/2020,Coleraine,305185,437128
700000010366,Lisnagat,BusCoachTramOnStreetPoint,,,-6.355710094,55.1690432057,09/07/2020,09/07/2020,Coleraine,304832,437003
700000010367,Dryarch,BusCoachTramOnStreetPoint,,,-6.3749314014,55.1614224628,09/07/2020,09/07/2020,Coleraine,303627,436126
700000010368,Manister Rd,BusCoachTramOnStreetPoint,,,-6.3931169216,55.1586990146,09/07/2020,09/07/2020,Coleraine,302475,435796
700000010369,Clegnagh,BusCoachTramOnStreetPoint,,,-6.4010863239,55.1567645765,09/07/2020,09/07/2020,Coleraine,301972,435569
700000010370,Mosside,BusCoachTramOnStreetPoint,,,-6.4091301927,55.1545161745,09/07/2020,09/07/2020,Coleraine,301465,435307
700000010371,Mosside Church,BusCoachTramOnStreetPoint,,,-6.4137962467,55.1543166472,09/07/2020,09/07/2020,Coleraine,301168,435278
700000010373,The Manse,BusCoachTramOnStreetPoint,,,-6.4214842683,55.1654478665,09/07/2020,09/07/2020,Coleraine,300650,436506
700000010374,75 Lisnagat Rd,BusCoachTramOnStreetPoint,,,-6.4270999907,55.1686915803,09/07/2020,09/07/2020,Coleraine,300284,436859
700000010375,89 Lisnagat Rd,BusCoachTramOnStreetPoint,,,-6.4402573189,55.1701452438,09/07/2020,09/07/2020,Coleraine,299442,437002
700000010376,Liscolman Post Office,BusCoachTramOnStreetPoint,,,-6.4550519987,55.1690647321,09/07/2020,09/07/2020,Coleraine,298501,436860
700000010377,Colman Rd,BusCoachTramOnStreetPoint,,,-6.4576905741,55.1678336495,09/07/2020,09/07/2020,Coleraine,298336,436719
700000010378,Cabragh Rd,BusCoachTramOnStreetPoint,,,-6.4576602089,55.1586205979,09/07/2020,09/07/2020,Coleraine,298361,435694
700000010379,Toberdoney Church,BusCoachTramOnStreetPoint,,,-6.4583373276,55.1481774117,09/07/2020,09/07/2020,Coleraine,298344,434531
700000010380,Toberdoney X Roads,BusCoachTramOnStreetPoint,,,-6.4594822079,55.1457394353,09/07/2020,09/07/2020,Coleraine,298277,434258
700000010381,71 Toberdoney Rd,BusCoachTramOnStreetPoint,,,-6.4617744374,55.1411958654,09/07/2020,09/07/2020,Coleraine,298142,433749
700000010382,Urbal Rd,BusCoachTramOnStreetPoint,,,-6.4647806205,55.1343794779,09/07/2020,09/07/2020,Coleraine,297967,432986
700000010384,Dervock Church,BusCoachTramOnStreetPoint,,,-6.4763995989,55.1314979197,09/07/2020,09/07/2020,Coleraine,297233,432649
